team,morale,note
Norway,0.8,Haaland imparable (4 goles) y venció 3-1 a Francia
Mexico,0.5,Pasó cómoda la fase de grupos y juega en casa
Argentina,0.5,Messi en racha (5 goles) e invicta; ligera duda física de Messi
Colombia,0.4,Líder invicta de su grupo
Spain,0.4,Equipo en forma y campeón de Europa; día flojo vs Cabo Verde
Brazil,0.3,Ganó su grupo y Neymar regresa; varias bajas
Portugal,0.3,Ganó su grupo con Cristiano goleando
Canada,0.3,Anfitrión con buen grupo
Morocco,0.2,Sólida; duda de Hakimi
Switzerland,0.2,Ganó su grupo con autoridad
Japan,0.2,Goleó pero perdió a Mitoma
England,0.1,Bajó en los rankings; dudas con Rice
Germany,0.1,Ganó su grupo pero con bajas duras (ter Stegen)
Croatia,0.1,Avanza pero con duda de Modrić
France,0.0,Gran plantel pero cayó 3-1 con Noruega y arrastra bajas
USA,0.0,Bajó tras un buen arranque
Uruguay,-0.1,Irregular; duda de Giménez
Netherlands,-0.3,Crisis de lesiones (4 bajas clave)
Belgium,-0.6,Crisis profunda según la prensa
