team,xg_for,xg_against
Germany,2.11,0.92
Argentina,1.67,0.74
Mexico,1.40,0.85
France,2.18,0.69
Japan,1.39,1.05
England,2.19,0.66
Austria,1.35,0.96
Spain,2.37,0.58
Turkey,1.91,1.21
Ivory Coast,1.47,1.24
Algeria,1.33,1.17
Colombia,1.59,0.93
Portugal,2.19,0.93
Norway,1.56,1.18
Netherlands,1.63,1.10
Belgium,2.21,0.88
Brazil,1.66,1.23
Croatia,1.57,1.21
Senegal,1.55,1.26
Morocco,1.68,0.95
South Korea,1.40,0.90
United States,1.55,1.15
Egypt,1.12,1.43
DR Congo,1.25,1.25
Switzerland,1.47,1.12
Ecuador,1.59,0.97
Canada,1.73,0.69
Iran,1.03,1.36
Czech Republic,1.49,1.23
Bosnia and Herzegovina,1.52,1.23
Scotland,1.43,1.62
Uruguay,1.42,1.11
Cape Verde,1.39,1.31
Paraguay,1.18,1.43
Iraq,0.87,1.47
Sweden,1.36,1.40
Panama,1.31,1.25
Jordan,1.19,1.65
Australia,0.95,1.40
Uzbekistan,1.04,1.40
Ghana,0.94,1.41
South Africa,1.62,0.97
Haiti,1.14,1.41
